Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;2,7683827;;;4,5061791;15,4428230;17,1000000;18,8000000;20,8000000;23,0000000;25,4000000;28,0000000;30,9000000;52,0000000;58,0000000;62,0000000;69,0000000;74,0000000;78,9000000;83,7800000;88,6612269;93,5424539;97,1700000;;;;;
Africa Eastern and Southern;AFE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0017323;0,0050408;0,0146295;0,0317097;0,0864963;0,1127522;0,2131924;0,3867724;0,5695121;0,7742176;0,9615520;1,1316294;1,4303984;1,7160467;1,8055231;2,0581018;2,7732738;2,6941498;3,2074162;5,2969736;6,8027502;8,5347501;10,1269455;12,2377158;14,4858492;15,7533298;17,3109869;20,0630243;22,5895907;24,9884009;27,6606538;
Afghanistan;AFG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;;;;;;0,0047226;0,0045614;0,0878913;0,1058090;1,2241481;2,1071236;1,9000000;1,8400000;3,5500000;4,0000000;5,0000000;5,4545455;5,9000000;7,0000000;8,2600000;11,0000000;13,5000000;16,8000000;17,6000000;18,4000000;;
Africa Western and Central;AFW;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000044;0,0001329;0,0070179;0,0199455;0,0356483;0,0865833;0,1394449;0,2101531;0,4121217;0,6579379;1,1763183;2,3224158;3,4583409;4,2333989;4,9855399;5,8037362;7,2425302;8,6649360;10,2936545;12,5777558;14,9234407;18,1094850;22,8697496;27,0812194;32,0893370;35,2764479;41,7498191;46,9904973;
Angola;AGO;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0007759;0,0056737;0,0184537;0,0719641;0,1050456;0,1360139;0,2703767;0,3706821;0,4648146;1,1433668;1,5000000;1,7000000;1,9000000;2,3000000;2,8000000;4,7000000;7,7000000;13,0000000;21,4000000;22,0000000;23,2000000;26,0000000;29,0000000;32,1293920;32,5501468;32,6023017;
Albania;ALB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0111687;0,0321968;0,0485939;0,0650274;0,0814370;0,1140973;0,3257984;0,3900813;0,9719004;2,4203878;6,0438909;9,6099913;15,0361154;23,8600000;41,2000000;45,0000000;47,0000000;49,4000000;51,8000000;54,3000000;56,9000000;59,6000000;62,4000000;65,4000000;68,5503911;72,2376771;79,3237175;82,6136858
Andorra;AND;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;1,5266010;3,0501754;6,8862092;7,6356861;10,5388356;;11,2604687;13,5464129;26,8379544;37,6057662;48,9368470;70,8700000;70,0400000;78,5300000;81,0000000;81,0000000;82,7000000;84,4000000;86,1000000;87,9000000;89,7000000;91,5674670;;90,7186653;93,2056489;93,8975216;
Arab World;ARB;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0008646;0,0028776;0,0146857;0,0402728;0,1419483;0,2838116;0,6448002;1,2170564;1,6399571;2,7978220;3,7703781;7,2501273;8,6147299;11,5893487;14,3537690;18,5565410;21,5084931;25,6809726;27,5480358;30,7954873;33,9101317;37,6559501;41,3816171;41,5291956;46,6646763;53,1981912;60,7310292;66,4403549;76,3090767;
United Arab Emirates;ARE;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0000000;0,0000000;0,0000000;0,1029392;0,3753935;3,2955927;6,9083030;14,9426990;23,6253009;26,2717542;28,3164853;29,4779534;30,1312962;40,0000000;52,0000000;61,0000000;63,0000000;64,0000000;68,0000000;78,0000000;84,9999915;88,0000000;90,4000000;90,5000000;90,6000073;94,8199225;98,4500018;99,1499980;100,0000000;100,0000000;100,0000000
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0000000;0,0000000;0,0029929;0,0295271;0,0437060;0,0862771;0,1419547;0,2803399;0,8307667;3,2844820;7,0386831;9,7808073;10,8821244;11,9136966;16,0366841;17,7205834;20,9272021;25,9466329;28,1126235;34,0000000;45,0000000;51,0000000;55,8000000;59,9000000;64,7000000;68,0430641;70,9689808;74,2949069;77,7000000;79,9469520;85,5143865;87,1507068;88,3753569
